id,status,ok,latency_ms,queued_at,started_at,ended_at,prompt_tokens,completion_tokens,total_tokens,error
23,200,1,40124.65,2025-09-26T16:37:11.831724+00:00,2025-09-26T16:37:11.831797+00:00,2025-09-26T16:37:51.956372+00:00,99,1999,2098,
19,200,1,40638.46,2025-09-26T16:37:11.831078+00:00,2025-09-26T16:37:11.831151+00:00,2025-09-26T16:37:52.469537+00:00,99,2026,2125,
42,200,1,40678.64,2025-09-26T16:37:11.835127+00:00,2025-09-26T16:37:11.835358+00:00,2025-09-26T16:37:52.513746+00:00,99,1877,1976,
10,200,1,41754.55,2025-09-26T16:37:11.829644+00:00,2025-09-26T16:37:11.829753+00:00,2025-09-26T16:37:53.584181+00:00,99,1933,2032,
28,200,1,41757.36,2025-09-26T16:37:11.832536+00:00,2025-09-26T16:37:11.832661+00:00,2025-09-26T16:37:53.589888+00:00,99,1933,2032,
30,200,1,48356.77,2025-09-26T16:37:11.832922+00:00,2025-09-26T16:37:11.832987+00:00,2025-09-26T16:38:00.189686+00:00,99,2156,2255,
39,200,1,50142.32,2025-09-26T16:37:11.834610+00:00,2025-09-26T16:37:11.834677+00:00,2025-09-26T16:38:01.976933+00:00,99,2238,2337,
37,200,1,50946.55,2025-09-26T16:37:11.834264+00:00,2025-09-26T16:37:11.834333+00:00,2025-09-26T16:38:02.780812+00:00,99,2520,2619,
21,200,1,52323.1,2025-09-26T16:37:11.831410+00:00,2025-09-26T16:37:11.831537+00:00,2025-09-26T16:38:04.154500+00:00,99,2591,2690,
7,200,1,54669.92,2025-09-26T16:37:11.829159+00:00,2025-09-26T16:37:11.829266+00:00,2025-09-26T16:38:06.499066+00:00,99,2506,2605,
36,200,1,54669.77,2025-09-26T16:37:11.834086+00:00,2025-09-26T16:37:11.834204+00:00,2025-09-26T16:38:06.503851+00:00,99,2506,2605,
43,200,1,78891.64,2025-09-26T16:37:11.835299+00:00,2025-09-26T16:37:11.835537+00:00,2025-09-26T16:38:30.726911+00:00,99,1762,1861,
18,200,1,79431.1,2025-09-26T16:37:11.830928+00:00,2025-09-26T16:37:11.830986+00:00,2025-09-26T16:38:31.262024+00:00,99,1888,1987,
17,200,1,80884.23,2025-09-26T16:37:11.830767+00:00,2025-09-26T16:37:11.830850+00:00,2025-09-26T16:38:32.714992+00:00,99,1938,2037,
32,200,1,81262.8,2025-09-26T16:37:11.833273+00:00,2025-09-26T16:37:11.833334+00:00,2025-09-26T16:38:33.096073+00:00,99,1976,2075,
40,200,1,83871.37,2025-09-26T16:37:11.834780+00:00,2025-09-26T16:37:11.835007+00:00,2025-09-26T16:38:35.706124+00:00,99,1721,1820,
11,200,1,87649.71,2025-09-26T16:37:11.829805+00:00,2025-09-26T16:37:11.829902+00:00,2025-09-26T16:38:39.479505+00:00,99,1620,1719,
24,200,1,91762.13,2025-09-26T16:37:11.831880+00:00,2025-09-26T16:37:11.831942+00:00,2025-09-26T16:38:43.594003+00:00,99,1748,1847,
22,200,1,94721.42,2025-09-26T16:37:11.831568+00:00,2025-09-26T16:37:11.831631+00:00,2025-09-26T16:38:46.552985+00:00,99,2192,2291,
13,200,1,96133.21,2025-09-26T16:37:11.830127+00:00,2025-09-26T16:37:11.830189+00:00,2025-09-26T16:38:47.963329+00:00,99,1871,1970,
15,200,1,96276.45,2025-09-26T16:37:11.830444+00:00,2025-09-26T16:37:11.830515+00:00,2025-09-26T16:38:48.106890+00:00,99,2384,2483,
6,200,1,119632.08,2025-09-26T16:37:11.828981+00:00,2025-09-26T16:37:11.829048+00:00,2025-09-26T16:39:11.461060+00:00,99,1873,1972,
9,0,0,120334.79,2025-09-26T16:37:11.829487+00:00,2025-09-26T16:37:11.829494+00:00,2025-09-26T16:39:12.164274+00:00,0,0,0,
3,0,0,120336.12,2025-09-26T16:37:11.828315+00:00,2025-09-26T16:37:11.828322+00:00,2025-09-26T16:39:12.164435+00:00,0,0,0,
8,0,0,120335.21,2025-09-26T16:37:11.829328+00:00,2025-09-26T16:37:11.829334+00:00,2025-09-26T16:39:12.164542+00:00,0,0,0,
5,0,0,120335.99,2025-09-26T16:37:11.828648+00:00,2025-09-26T16:37:11.828654+00:00,2025-09-26T16:39:12.164640+00:00,0,0,0,
2,0,0,120336.7,2025-09-26T16:37:11.828032+00:00,2025-09-26T16:37:11.828042+00:00,2025-09-26T16:39:12.164732+00:00,0,0,0,
1,0,0,120342.47,2025-09-26T16:37:11.822352+00:00,2025-09-26T16:37:11.822363+00:00,2025-09-26T16:39:12.164832+00:00,0,0,0,
4,0,0,120336.46,2025-09-26T16:37:11.828488+00:00,2025-09-26T16:37:11.828494+00:00,2025-09-26T16:39:12.164952+00:00,0,0,0,
16,0,0,120334.46,2025-09-26T16:37:11.830605+00:00,2025-09-26T16:37:11.830613+00:00,2025-09-26T16:39:12.165063+00:00,0,0,0,
12,0,0,120335.2,2025-09-26T16:37:11.829960+00:00,2025-09-26T16:37:11.829966+00:00,2025-09-26T16:39:12.165160+00:00,0,0,0,
14,0,0,120334.97,2025-09-26T16:37:11.830284+00:00,2025-09-26T16:37:11.830290+00:00,2025-09-26T16:39:12.165254+00:00,0,0,0,
29,0,0,120332.65,2025-09-26T16:37:11.832698+00:00,2025-09-26T16:37:11.832704+00:00,2025-09-26T16:39:12.165348+00:00,0,0,0,
20,0,0,120334.19,2025-09-26T16:37:11.831248+00:00,2025-09-26T16:37:11.831254+00:00,2025-09-26T16:39:12.165442+00:00,0,0,0,
27,0,0,120333.16,2025-09-26T16:37:11.832370+00:00,2025-09-26T16:37:11.832375+00:00,2025-09-26T16:39:12.165535+00:00,0,0,0,
26,0,0,120333.42,2025-09-26T16:37:11.832207+00:00,2025-09-26T16:37:11.832212+00:00,2025-09-26T16:39:12.165631+00:00,0,0,0,
25,0,0,120333.69,2025-09-26T16:37:11.832038+00:00,2025-09-26T16:37:11.832044+00:00,2025-09-26T16:39:12.165725+00:00,0,0,0,
31,0,0,120332.72,2025-09-26T16:37:11.833099+00:00,2025-09-26T16:37:11.833112+00:00,2025-09-26T16:39:12.165822+00:00,0,0,0,
33,0,0,120332.47,2025-09-26T16:37:11.833442+00:00,2025-09-26T16:37:11.833447+00:00,2025-09-26T16:39:12.165912+00:00,0,0,0,
34,0,0,120332.3,2025-09-26T16:37:11.833732+00:00,2025-09-26T16:37:11.833738+00:00,2025-09-26T16:39:12.166037+00:00,0,0,0,
35,0,0,120332.21,2025-09-26T16:37:11.833913+00:00,2025-09-26T16:37:11.833919+00:00,2025-09-26T16:39:12.166124+00:00,0,0,0,
44,0,0,120330.74,2025-09-26T16:37:11.835472+00:00,2025-09-26T16:37:11.835478+00:00,2025-09-26T16:39:12.166212+00:00,0,0,0,
41,0,0,120331.35,2025-09-26T16:37:11.834948+00:00,2025-09-26T16:37:11.834954+00:00,2025-09-26T16:39:12.166297+00:00,0,0,0,
38,0,0,120331.95,2025-09-26T16:37:11.834430+00:00,2025-09-26T16:37:11.834435+00:00,2025-09-26T16:39:12.166380+00:00,0,0,0,
45,0,0,120330.82,2025-09-26T16:37:11.835645+00:00,2025-09-26T16:37:11.835650+00:00,2025-09-26T16:39:12.166464+00:00,0,0,0,
48,0,0,120330.38,2025-09-26T16:37:11.836170+00:00,2025-09-26T16:37:11.836175+00:00,2025-09-26T16:39:12.166551+00:00,0,0,0,
47,0,0,120330.64,2025-09-26T16:37:11.836000+00:00,2025-09-26T16:37:11.836006+00:00,2025-09-26T16:39:12.166636+00:00,0,0,0,
50,0,0,120330.2,2025-09-26T16:37:11.836513+00:00,2025-09-26T16:37:11.836519+00:00,2025-09-26T16:39:12.166718+00:00,0,0,0,
49,0,0,120330.47,2025-09-26T16:37:11.836341+00:00,2025-09-26T16:37:11.836347+00:00,2025-09-26T16:39:12.166812+00:00,0,0,0,
46,0,0,120331.07,2025-09-26T16:37:11.835823+00:00,2025-09-26T16:37:11.835829+00:00,2025-09-26T16:39:12.166897+00:00,0,0,0,
